,rating,review_count
10001,4.3125,206
10002,4.4375,304
10003,4.23529411765,1266
10004,3.95833333333,370
10005,4.0,119
10006,0.0,0
10007,4.0,190
10009,4.31818181818,444
10010,4.28571428571,330
10011,4.17857142857,834
10012,4.33333333333,875
10013,4.25,605
10014,4.04545454545,871
10015,0.0,0
10016,4.16666666667,358
10017,4.14285714286,657
10018,4.16666666667,406
10019,4.15384615385,701
10020,4.25,1053
10021,4.25,373
10022,4.25,611
10023,3.92857142857,326
10024,4.02941176471,682
10025,4.10714285714,200
10026,4.13636363636,314
10027,4.0,497
10028,4.125,401
10029,4.46666666667,151
10030,4.21428571429,82
10031,4.21428571429,112
10032,4.27777777778,80
10033,4.3125,165
10034,4.10714285714,155
10035,4.3,145
10036,4.16666666667,738
10037,4.16666666667,35
10038,4.15384615385,163
10039,4.125,61
10040,3.83333333333,154
10041,0.0,0
10044,3.5,137
10048,0.0,0
10055,0.0,0
10057,0.0,0
10065,4.25,258
10069,4.0,23
10075,4.38888888889,309
10103,0.0,0
10104,0.0,0
10105,0.0,0
10106,0.0,0
10107,0.0,0
10110,0.0,0
10111,0.0,0
10112,4.0,232
10118,4.5,46
10119,4.0,176
10121,0.0,0
10122,0.0,0
10123,0.0,0
10128,4.21428571429,349
10153,0.0,0
10154,4.5,270
10155,0.0,0
10165,4.0,18
10166,3.5,247
10167,0.0,0
10168,0.0,0
10169,4.0,138
10170,0.0,0
10171,0.0,0
10172,0.0,0
10173,0.0,0
10174,0.0,0
10175,0.0,0
10176,4.0,327
10179,0.0,0
10199,0.0,0
10279,0.0,0
10280,3.75,128
10281,3.6875,123
10282,4.16666666667,323
10285,3.0,45
10301,4.125,101
10302,4.15,90
10303,4.0,50
10304,4.375,87
10305,4.14285714286,105
10306,4.125,53
10307,4.0,29
10308,3.88461538462,63
10309,3.80769230769,53
10310,4.0,59
10311,5.0,1
10312,4.0,49
10314,4.28571428571,57
10317,0.0,0
10451,4.0,36
10452,4.375,25
10453,4.0,16
10454,4.25,92
10455,4.25,26
10456,4.1,24
10457,4.5,8
10458,4.13333333333,112
10459,4.0,6
10460,4.25,35
10461,4.07142857143,105
10462,4.10714285714,100
10463,4.11764705882,101
10464,3.63636363636,153
10465,4.0,119
10466,4.4,32
10467,4.125,34
10468,4.0,60
10469,4.05555555556,31
10470,3.5,64
10471,3.92857142857,66
10472,4.07142857143,26
10473,5.0,2
10474,3.83333333333,11
10475,2.8,67
10528,4.5,42
10605,3.92857142857,100
11001,4.21875,57
11004,4.0,80
11005,0.0,0
11040,4.1,119
11101,4.375,226
11102,4.22222222222,216
11103,4.30769230769,396
11104,4.13636363636,210
11105,4.25,315
11106,4.27272727273,361
11109,4.5,493
11201,4.0625,494
11203,3.9,109
11204,3.85,97
11205,4.375,165
11206,4.36363636364,262
11207,4.83333333333,34
11208,4.0,47
11209,4.25,158
11210,4.0625,38
11211,4.54545454545,368
11212,4.2,11
11213,4.5,25
11214,4.1875,78
11215,4.18421052632,283
11216,4.5,96
11217,4.1875,238
11218,4.14285714286,165
11219,4.125,84
11220,4.18181818182,159
11221,4.5,108
11222,4.17647058824,179
11223,4.22727272727,289
11224,3.83333333333,278
11225,4.33333333333,66
11226,4.25,154
11228,4.33333333333,94
11229,4.0,176
11230,3.9375,357
11231,4.21052631579,278
11232,4.45,123
11233,4.27777777778,169
11234,4.16666666667,70
11235,4.06666666667,172
11236,3.875,35
11237,4.28571428571,113
11238,4.32352941176,131
11239,3.1,69
11242,0.0,0
11249,4.25,166
11256,0.0,0
11352,0.0,0
11354,4.27272727273,345
11355,4.13333333333,196
11356,3.85294117647,74
11357,4.21428571429,60
11358,4.28571428571,116
11360,4.0,101
11361,4.09375,228
11362,4.0,145
11363,4.25,52
11364,4.25,121
11365,3.92857142857,107
11366,3.65,90
11367,3.88888888889,109
11368,4.31818181818,191
11369,4.0,53
11370,4.25,165
11371,0.0,0
11372,4.25,183
11373,4.13333333333,250
11374,4.11111111111,156
11375,4.23076923077,244
11377,4.3125,351
11378,4.5,119
11379,4.28571428571,73
11385,4.4,112
11411,4.33333333333,8
11412,3.75,12
11413,3.6,40
11414,3.83333333333,106
11415,3.95454545455,127
11416,3.5,25
11417,4.0,35
11418,4.16666666667,49
11419,4.0,57
11420,4.29166666667,58
11421,3.8125,28
11422,3.625,44
11423,4.0,230
11426,3.75,91
11427,4.16666666667,65
11428,3.92857142857,24
11429,3.5,28
11430,3.5,91
11432,4.07692307692,62
11433,4.5,22
11434,4.25,154
11435,4.21428571429,64
11436,3.75,13
11451,0.0,0
11691,4.25,9
11692,3.83333333333,42
11693,4.375,59
11694,4.04166666667,42
11697,3.875,20
